Scenario,DAU 2027-03,Cumul Margin 2027-03,DAU 2027-12,Cumul Margin 2027-12,DAU 2029-12,Cumul Margin 2029-12
plan a.1 - 2026 ua250K,39676,11123740.14267713,19198,14093541.674920179,8672,17737843.542198606
plan a.1 - 2026 ua250K + retention d30,42420,11622661.88092685,20052,14750460.169177756,8838,18514585.389980458
plan a.1 - 2026 ua350K,42754,11098810.51236383,19912,14225033.043793103,8799,17965537.605748195
plan a.1 - 2026q3 ua350k,34654,11172731.018826952,17952,13873586.901893333,8402,17345167.736066688
plan a.1 - 2027 ua250K,54552,10793479.289280383,45327,14062848.284747826,10337,19457843.006391738
plan a.1 - 2027 ua350K,63258,10609064.291252043,55735,14085655.27934873,11262,20259082.59950573
plan a.1 - 2027q2 ua250k,54552,10793479.289280383,24560,14423282.812936291,9304,18607315.263155624
"plan a - no ua, no uplifts",30483,11110458.008279832,16668,13580205.000911647,8206,16889117.944799844
