Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127264.0,127264,,,0.3942050473498037,0.3942050473498037,1555207.5034732146,1555207.5034732146,1141844.5529823678,1141844.5529823678,574462.1263814908,574462.0,567382.426600877,567382.5529823678,567382.5529823678
2025-11-01,119313.0,119313,,,0.4158808628248214,0.41588086282482145,1488600.633348263,1488600.6333482633,1091988.5824560784,1091988.5824560784,510969.1951464213,510969.0,581019.3873096571,581019.5824560784,1148402.1354384462
2025-12-01,117684.0,117684,,,0.4304904586568507,0.4304904586568507,1570512.7083291707,1570512.7083291707,1151164.6827486549,1151164.6827486549,640616.7149712659,640617.0,510547.967777389,510547.68274865486,1658949.818187101
2026-01-01,114296.0,114296,,,0.4497845797868576,0.4497845797868576,1593665.0287017194,1593665.0287017194,1167048.9631338506,1167048.9631338506,364087.51926640014,364088.0,802961.4438674505,802960.9631338506,2461910.781320952
2026-02-01,109327.0,109327,,,0.4749480290021503,0.4749480290021503,1453894.7581483964,1453894.7581483964,1064214.2106371715,1064214.2106371715,407247.3114704367,407247.0,656966.8991667349,656967.2106371715,3118877.9919581236
2026-03-01,98535.0,98535,,,0.4445380797405321,0.4445380797405321,1357874.0158472764,1357874.0158472764,998298.8689634462,998298.8689634465,275693.9334146599,275694.0,722604.9355487863,722604.8689634465,3841482.86092157
2026-04-01,90902.0,90902,,,0.4817159154543821,0.4817159154543821,1313669.6495467736,1313669.6495467736,963476.9337862708,963476.9337862708,263614.4998332652,263614.0,699862.4339530056,699862.9337862708,4541345.794707841
2026-05-01,83176.0,83176,,,0.5189950139672144,0.5189950139672144,1338210.9976839873,1338210.9976839873,981165.5830910852,981165.5830910852,241279.92481554637,241280.0,739885.6582755388,739885.5830910852,5281231.377798926
2026-06-01,78254.0,78254,,,0.47569263840603465,0.47569263840603465,1116738.416385199,1116738.416385199,820699.3274151686,820699.3274151686,225004.7726297013,215990.0,595694.5547854673,604709.3274151686,5885940.705214094
2026-07-01,75244.0,75306,0.0,0.0,0.4398835640599192,0.4776110487372822,430281.3457400552,1114971.2290655756,316842.87332021515,853529.7347154877,90666.14675884676,250000.0,226176.72656136838,603529.7347154877,6489470.439929582
2026-08-01,,70296,0.0,0.0,,0.47763537752013263,,1040855.0485750223,,796790.4712285455,,250000.0,,546790.4712285455,7036260.911158128
2026-09-01,,66479,0.0,0.0,,0.49595373121544784,,989111.1748257946,,756247.2405384148,,250000.0,,506247.2405384148,7542508.151696542
2026-10-01,,57426,0.0,0.0,,0.5229312342715555,,930918.926142819,,710575.1460304598,,0.0,,710575.1460304598,8253083.297727002
2026-11-01,,49823,0.0,0.0,,0.5229070442137993,,781580.6056194555,,596585.7041568502,,0.0,,596585.7041568502,8849669.001883851
2026-12-01,,44657,0.0,0.0,,0.5228782148351103,,723857.7294659044,,552526.8341802108,,0.0,,552526.8341802108,9402195.836064063
2027-01-01,,40465,0.0,0.0,,0.5228618456789021,,655889.9376551334,,500647.1476818235,,0.0,,500647.1476818235,9902842.983745886
2027-02-01,,37002,0.0,0.0,,0.5228508056514978,,541696.8692945448,,413482.8692773597,,0.0,,413482.8692773597,10316325.853023246
2027-03-01,,33983,0.0,0.0,,0.5228357564316758,,550800.001361678,,420431.9361425947,,0.0,,420431.9361425947,10736757.789165841
2027-04-01,,31284,0.0,0.0,,0.5228103420426792,,490672.6649063329,,374536.88236308156,,0.0,,374536.88236308156,11111294.671528922
2027-05-01,,28915,0.0,0.0,,0.5227768766985903,,468602.0583899318,,357691.14191206166,,0.0,,357691.14191206166,11468985.813440984
2027-06-01,,26822,0.0,0.0,,0.5227369488857011,,420619.2927169524,,321066.277776921,,0.0,,321066.277776921,11790052.091217905
2027-07-01,,24974,0.0,0.0,,0.522691451204513,,404669.66090802045,,308892.86168295325,,0.0,,308892.86168295325,12098944.952900859
2027-08-01,,23310,0.0,0.0,,0.522641113478945,,377667.606119345,,288282.89054547704,,0.0,,288282.89054547704,12387227.843446335
2027-09-01,,21850,0.0,0.0,,0.5225891474315094,,342554.39779295377,,261481.30745861298,,0.0,,261481.30745861298,12648709.150904948
2027-10-01,,20530,0.0,0.0,,0.5225371506094636,,332559.6503988975,,253853.18971109064,,0.0,,253853.18971109064,12902562.340616038
2027-11-01,,19327,0.0,0.0,,0.5224873241524518,,302939.6722473666,,231244.33838811255,,0.0,,231244.33838811255,13133806.679004151
2027-12-01,,18235,0.0,0.0,,0.5224416262410218,,295328.8974158618,,225435.66928949347,,0.0,,225435.66928949347,13359242.348293645
2028-01-01,,17234,0.0,0.0,,0.5224014487501942,,279096.9409652171,,213045.95254640753,,0.0,,213045.95254640753,13572288.300840054
2028-02-01,,16365,0.0,0.0,,0.5223707956460004,,247911.37239748967,,189241.25641183957,,0.0,,189241.25641183957,13761529.557251893
2028-03-01,,15591,0.0,0.0,,0.5223508276911563,,252468.36215621012,,192720.13567470107,,0.0,,192720.13567470107,13954249.692926593
