Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2028-10-01,,11649,,0.4771491077570573,,172313.74603855,,131915.5903639928,,0.0,,131915.5903639928,14359705.581805877
2028-11-01,,11343,,0.47716770556580235,,162378.4372959144,,124309.32390314137,,0.0,,124309.32390314137,14484014.905709019
2028-12-01,,11049,,0.4771886806714908,,163452.21425048457,,125131.07955675619,,0.0,,125131.07955675619,14609145.985265775
2029-01-01,,10763,,0.47721234194474316,,159223.33397395542,,121893.34902868584,,0.0,,121893.34902868584,14731039.33429446
2029-02-01,,10501,,0.4772365554991408,,140321.59565134064,,107422.8569441693,,0.0,,107422.8569441693,14838462.19123863
2029-03-01,,10250,,0.47726208324323777,,151642.73760841988,,116089.41625547121,,0.0,,116089.41625547121,14954551.6074941
2029-04-01,,10000,,0.47728949563879564,,143188.06462405817,,109616.66157641789,,0.0,,109616.66157641789,15064168.26907052
2029-05-01,,9762,,0.4773176569507222,,144446.86572152,,110579.99901900179,,0.0,,110579.99901900179,15174748.268089522
2029-06-01,,9536,,0.4773463728468647,,136554.668427473,,104537.88096856939,,0.0,,104537.88096856939,15279286.14905809
2029-07-01,,9322,,0.477375408382856,,137950.0363038023,,105605.76489359932,,0.0,,105605.76489359932,15384891.91395169
2029-08-01,,9118,,0.47740499156276844,,134937.22825512983,,103299.02784680083,,0.0,,103299.02784680083,15488190.94179849
2029-09-01,,8930,,0.47743387770769985,,127909.84423233628,,97919.02792776901,,0.0,,97919.02792776901,15586109.969726259
2029-10-01,,8757,,0.47746221082464385,,129618.59440602452,,99226.83307884702,,0.0,,99226.83307884702,15685336.802805105
2029-11-01,,8599,,0.47748966262789466,,123172.63234848986,,90508.440926613,,0.0,,90508.440926613,15775845.243731719
2029-12-01,,8455,,0.477515836747031,,125163.49393778188,,91970.98394174274,,0.0,,91970.98394174274,15867816.227673462
