Scenario,DAU 2027-03,Cumul Margin 2027-03,DAU 2027-12,Cumul Margin 2027-12
plan a.1 - 2026 ua250K,39676,11123740.14267713,19198,14093541.674920179
plan a.1 - 2026 ua250K + retention d30,42420,11622661.88092685,20052,14750460.169177756
plan a.1 - 2026 ua350K,42754,11098810.51236383,19912,14225033.043793103
plan a.1 - 2026q3 ua350k,34654,11172731.018826952,17952,13873586.901893333
plan a.1 - 2027 ua250K,54552,10793479.289280383,45327,14062848.284747826
plan a.1 - 2027 ua350K,63258,10609064.291252043,55735,14085655.279348731
plan a.1 - 2027q2 ua250k,54552,10793479.289280383,24560,14423282.812936291
"plan a - no ua, no uplifts",30483,11110458.008279832,16668,13580205.000911647
