Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127265.0,127265,0.3942026986702478,0.3942026986702478,1555210.457807355,1555210.457807355,1141846.6967203838,1141846.6967203838,574462.126381491,574462.0,567384.5703388929,567384.6967203838,567384.6967203838
2025-11-01,119314.0,119314,0.4158785244234047,0.4158785244234047,1488604.7396486723,1488604.7396486723,1091991.5146010118,1091991.5146010118,510969.1951464214,510969.0,581022.3194545903,581022.5146010118,1148407.2113213956
2025-12-01,117685.0,117685,0.43048860911545794,0.43048860911545794,1570519.3059902415,1570519.3059902415,1151169.3452025806,1151169.3452025806,640616.7149712659,640617.0,510552.6302313147,510552.34520258056,1658959.5565239761
2026-01-01,114297.0,114297,0.44978386861260616,0.44978386861260616,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,364087.51926640014,364088.0,802969.8089448138,802969.3282112139,2461928.8847351903
2026-02-01,109328.0,109328,0.47494831094003936,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,407247.3114704367,407247.0,656977.2044564055,656977.5159268421,3118906.4006620324
2026-03-01,98536.0,98536,0.4445351716003413,0.4445351716003413,1357878.913311089,1357878.913311089,998302.4885771739,998302.4885771739,275693.93341466,275694.0,722608.5551625139,722608.4885771739,3841514.8892392064
2026-04-01,90903.0,90903,0.48171352559913155,0.48171352559913155,1313669.876250303,1313669.876250303,963477.1264842708,963477.1264842708,263614.49983326514,263614.0,699862.6266510056,699863.1264842708,4541378.015723477
2026-05-01,83176.0,83176,0.5189948126867582,0.5189948126867582,1338210.9976839873,1338210.9976839873,981165.5830910851,981165.5830910851,241279.92481554637,241280.0,739885.6582755387,739885.5830910851,5281263.598814562
2026-06-01,78255.0,78255,0.4756880379178029,0.4756880379178029,1116742.362585199,1116742.362585199,820702.6816851686,820702.6816851686,215990.45314110874,215990.0,604712.2285440599,604712.6816851686,5885976.28049973
2026-07-01,,76858,,0.47761355264678856,,1137964.9094316042,,871131.5638491901,,300000.0,,571131.5638491901,6457107.8443489205
2026-08-01,,73784,,0.4776460485914805,,1092528.2760294236,,836346.1753548699,,350000.0,,486346.1753548699,6943454.019703791
2026-09-01,,71383,,0.49597340657753886,,1062120.8854780174,,812066.9041375074,,350000.0,,462066.90413750743,7405520.923841298
2026-10-01,,62891,,0.5229419281328693,,1019540.9977688042,,778220.0987800526,,0.0,,778220.0987800526,8183741.02262135
2026-11-01,,57206,,0.5228968039590971,,897389.4621527361,,684983.9899462599,,0.0,,684983.9899462599,8868725.01256761
2026-12-01,,54937,,0.5228523112766978,,890436.5734464155,,679679.4330459462,,0.0,,679679.4330459462,9548404.445613556
2027-01-01,,48104,,0.5228461695143208,,779677.9347559196,,595136.5386412623,,0.0,,595136.5386412623,10143540.984254818
2027-02-01,,42371,,0.5228286548786931,,620274.5462535808,,473462.943225064,,0.0,,473462.943225064,10617003.927479882
2027-03-01,,38421,,0.5227903902571247,,622677.8265662859,,475298.9803672408,,0.0,,475298.9803672408,11092302.907847123
2027-04-01,,35004,,0.5227612867846286,,548958.1367773013,,419028.7389023345,,0.0,,419028.7389023345,11511331.646749457
2027-05-01,,32022,,0.5227355452226496,,518907.13780083996,,396091.2076839714,,0.0,,396091.2076839714,11907422.854433428
2027-06-01,,29435,,0.5227057384137083,,461579.64253934333,,352333.0085901787,,0.0,,352333.0085901787,12259755.863023607
2027-07-01,,27186,,0.5226703056578283,,440493.9097207304,,336238.88392593956,,0.0,,336238.88392593956,12595994.746949546
2027-08-01,,25180,,0.5226303455877144,,407951.7779722314,,311399.8295429256,,0.0,,311399.8295429256,12907394.576492472
2027-09-01,,23448,,0.5225876430132449,,367607.8580739712,,280605.3479126124,,0.0,,280605.3479126124,13187999.924405083
2027-10-01,,21919,,0.5225428505531042,,355066.67436572653,,271033.370793553,,0.0,,271033.370793553,13459033.295198636
2027-11-01,,20564,,0.5224974323935798,,322343.72488753154,,246055.90648806156,,0.0,,246055.90648806156,13705089.201686697
2027-12-01,,19367,,0.5224532986385693,,313668.151780234,,239434.46894597256,,0.0,,239434.46894597256,13944523.67063267
2028-01-01,,18282,,0.5224128863563142,,296071.04596128245,,226002.7459792774,,0.0,,226002.7459792774,14170526.416611947
2028-02-01,,17339,,0.522381085414967,,262662.07295699615,,200500.91119215623,,0.0,,200500.91119215623,14371027.327804103
2028-03-01,,16496,,0.5223590645616296,,267119.60886695015,,203903.92607326852,,0.0,,203903.92607326852,14574931.253877372
2028-04-01,,15730,,0.5223460160820315,,246487.42982091065,,188154.7076286765,,0.0,,188154.7076286765,14763085.961506048
2028-05-01,,15036,,0.5223363923432234,,243467.93196064176,,185849.9480830648,,0.0,,185849.9480830648,14948935.909589114
2028-06-01,,14411,,0.5223294535999129,,225814.54222686563,,172374.43153030876,,0.0,,172374.43153030876,15121310.341119422
2028-07-01,,13854,,0.522325750960462,,224327.3445131716,,171239.24173985524,,0.0,,171239.24173985524,15292549.582859278
2028-08-01,,13357,,0.5223257918118435,,216285.28314009335,,165100.3707671318,,0.0,,165100.3707671318,15457649.95362641
