Date,DAU (Act),DAU,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127265.0,127265,0.3942026986702478,0.3942026986702478,1555210.457807355,1555210.457807355,1141846.6967203838,1141846.6967203838,574462.126381491,574462.0,567384.5703388929,567384.6967203838,567384.6967203838
2025-11-01,119314.0,119314,0.4158785244234047,0.4158785244234047,1488604.7396486723,1488604.7396486723,1091991.5146010118,1091991.5146010118,510969.1951464214,510969.0,581022.3194545903,581022.5146010118,1148407.2113213956
2025-12-01,117685.0,117685,0.43048860911545794,0.43048860911545794,1570519.3059902415,1570519.3059902415,1151169.3452025806,1151169.3452025806,640616.7149712659,640617.0,510552.6302313147,510552.34520258056,1658959.5565239761
2026-01-01,114297.0,114297,0.44978386861260616,0.44978386861260616,1593676.901971398,1593676.901971398,1167057.328211214,1167057.328211214,364087.51926640014,364088.0,802969.8089448138,802969.3282112139,2461928.8847351903
2026-02-01,109328.0,109328,0.47494831094003936,0.47494831094003936,1453909.3947080937,1453909.3947080937,1064224.515926842,1064224.515926842,407247.3114704367,407247.0,656977.2044564055,656977.5159268421,3118906.4006620324
2026-03-01,98536.0,98536,0.4445351716003413,0.4445351716003413,1357878.913311089,1357878.913311089,998302.4885771739,998302.4885771739,275693.93341466,275694.0,722608.5551625139,722608.4885771739,3841514.8892392064
2026-04-01,90903.0,90903,0.48171352559913155,0.48171352559913155,1313669.876250303,1313669.876250303,963477.1264842708,963477.1264842708,263614.49983326514,263614.0,699862.6266510056,699863.1264842708,4541378.015723477
2026-05-01,83176.0,83176,0.5189948126867582,0.5189948126867582,1338210.9976839873,1338210.9976839873,981165.5830910851,981165.5830910851,241279.92481554637,241280.0,739885.6582755387,739885.5830910851,5281263.598814562
2026-06-01,78255.0,78255,0.4756880379178029,0.4756880379178029,1116742.362585199,1116742.362585199,820702.6816851686,820702.6816851686,215990.45314110874,215990.0,604712.2285440599,604712.6816851686,5885976.28049973
2026-07-01,,75756,,0.47760956082459627,,1121642.6477075666,,858636.9558444654,,250000.0,,608636.9558444654,6494613.236344196
2026-08-01,,70686,,0.4776338383726185,,1046620.2104450695,,801203.921103588,,250000.0,,551203.921103588,7045817.157447784
2026-09-01,,66826,,0.4959520474185871,,994280.8999084716,,760199.9950319434,,250000.0,,510199.9950319434,7556017.152479728
2026-10-01,,57738,,0.5229294371837925,,935978.7001847858,,714437.4090825472,,0.0,,714437.4090825472,8270454.561562275
2026-11-01,,50104,,0.5229053936639014,,785996.2584162204,,599956.2877241997,,0.0,,599956.2877241997,8870410.849286474
2026-12-01,,44913,,0.522876753886411,,728003.7889518975,,555691.627784416,,0.0,,555691.627784416,9426102.47707089
2027-01-01,,40700,,0.5228604282872532,,659688.7838415691,,503546.9059784323,,0.0,,503546.9059784323,9929649.383049322
2027-02-01,,37218,,0.5228493662953058,,544865.0960295155,,415901.2619350632,,0.0,,415901.2619350632,10345550.644984385
2027-03-01,,34184,,0.5228342776213759,,554049.4605343672,,422912.339954961,,0.0,,422912.339954961,10768462.984939346
2027-04-01,,31471,,0.5228088135854386,,493593.22247164836,,376766.23244484566,,0.0,,376766.23244484566,11145229.217384191
2027-05-01,,29089,,0.5227752892819139,,471416.72661295754,,359839.6711353679,,0.0,,359839.6711353679,11505068.888519559
2027-06-01,,26984,,0.5227353035980011,,423167.02605315304,,323011.0548132877,,0.0,,323011.0548132877,11828079.943332847
2027-07-01,,25127,,0.5226897619982085,,407136.77846486995,,310776.1101549064,,0.0,,310776.1101549064,12138856.053487753
2027-08-01,,23453,,0.5226394008483966,,379979.7493165771,,290047.84912315966,,0.0,,290047.84912315966,12428903.902610913
2027-09-01,,21984,,0.5225874298002386,,344656.3377315696,,263085.8161312079,,0.0,,263085.8161312079,12691989.718742121
2027-10-01,,20656,,0.5225354378732427,,334603.3840543555,,255413.27373105352,,0.0,,255413.27373105352,12947402.992473174
2027-11-01,,19446,,0.5224856204344746,,304804.2609751146,,232667.6780894666,,0.0,,232667.6780894666,13180070.67056264
2027-12-01,,18348,,0.5224399353456012,,297149.58532980457,,226825.50240464575,,0.0,,226825.50240464575,13406896.172967285
2028-01-01,,17341,,0.5223997748308586,,280820.4778209743,,214361.62906096003,,0.0,,214361.62906096003,13621257.802028244
2028-02-01,,16466,,0.5223691418124199,,249444.8712262664,,190411.8685374838,,0.0,,190411.8685374838,13811669.670565728
2028-03-01,,15688,,0.5223491972191278,,254032.6242233698,,193914.2328770751,,0.0,,193914.2328770751,14005583.903442804
2028-04-01,,14982,,0.5223390775582155,,234772.96419335937,,179212.6487814138,,0.0,,179212.6487814138,14184796.552224217
2028-05-01,,14344,,0.5223328205458214,,232269.7642449213,,177301.94172543802,,0.0,,177301.94172543802,14362098.493949655
2028-06-01,,13771,,0.5223295830016483,,215786.50421740548,,164719.5756723166,,0.0,,164719.5756723166,14526818.069621973
2028-07-01,,13261,,0.522329858465898,,214732.76177354887,,163915.20257525047,,0.0,,163915.20257525047,14690733.272197222
2028-08-01,,12809,,0.5223341477795012,,207405.40071194735,,158321.83810020378,,0.0,,158321.83810020378,14849055.110297427
2028-09-01,,12424,,0.5223427596322924,,194692.3541229481,,148617.2881364635,,0.0,,148617.2881364635,14997672.39843389
