Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127261.0,127261,,,0.394204456064779,0.394204456064779,1555168.1155320383,1555168.1155320383,1141816.6127323685,1141816.6127323685,574462.1263814908,574462.0,567354.4863508777,567354.6127323685,567354.6127323685
2025-11-01,119310.0,119310,,,0.4158798937235884,0.4158798937235884,1488559.3194847337,1488559.3194847337,1091959.1596720791,1091959.1596720791,510969.1951464214,510969.0,580989.9645256577,580990.1596720791,1148344.7724044477
2025-12-01,117681.0,117681,,,0.43049280231128256,0.43049280231128256,1570481.6530973946,1570481.6530973946,1151141.809861412,1151141.809861412,640616.7149712658,640617.0,510525.0948901463,510524.80986141204,1658869.5822658597
2026-01-01,114294.0,114294,,,0.44978741953315177,0.44978741953315177,1593641.80614791,1593641.80614791,1167032.3420963609,1167032.3420963609,364087.51926640014,364088.0,802944.8228299607,802944.3420963609,2461813.924362221
2026-02-01,109325.0,109325,,,0.47494711618442037,0.47494711618442037,1453859.6674578968,1453859.6674578968,1064187.2006114696,1064187.2006114696,407247.31147043675,407247.0,656939.8891410328,656940.2006114696,3118754.12497369
2026-03-01,98533.0,98533,,,0.4445398708468403,0.4445398708468403,1357863.0389370243,1357863.0389370243,1017216.7245530633,1017216.7245530633,275693.9334146599,275694.0,741522.7911384034,741522.7245530633,3860276.8495267536
2026-04-01,90901.0,90901,,,0.4817186164957694,0.4817186164957694,1313658.2284307592,1313658.2284307592,995255.989204897,995255.989204897,263614.49983326514,263614.0,731641.4893716318,731641.989204897,4591918.83873165
2026-05-01,83175.0,83175,,,0.5189954894969185,0.5189954894969185,1338195.0969700082,1338195.0969700082,1017496.7157294512,1017496.7157294512,241279.92481554637,241280.0,776216.7909139048,776216.7157294512,5368135.554461101
2026-06-01,78252.0,78252,,,0.475696878020976,0.475696878020976,1116726.4872700444,1116726.4872700444,853300.2311633227,853300.2311633227,225004.77262970124,215990.0,628295.4585336214,637310.2311633227,6005445.785624424
2026-07-01,73013.0,74204,0.0,0.0,0.44723000021083115,0.4776069362145657,1012266.196467198,1098648.967341538,778147.6240692155,841035.1267107629,196191.12514787877,200000.0,581956.4989213367,641035.1267107629,6646480.912335187
2026-08-01,63589.0,64994,0.0,0.0,0.47733009361447964,0.47761302354822793,758825.4923916531,962302.4595425929,579920.8375270079,736659.000967814,35188.282883,50000.0,544732.5546440079,686659.000967814,7333139.913303001
2026-09-01,,57875,0.0,0.0,,0.4959057337270758,,861009.4383415262,,658307.2485856652,,50000.0,,608307.2485856652,7941447.161888666
2026-10-01,,51360,0.0,0.0,,0.5228786962093909,,832500.9323371629,,635455.0992330476,,0.0,,635455.0992330476,8576902.261121714
2026-11-01,,45844,0.0,0.0,,0.5228787510927225,,719123.1790237243,,548912.8854422994,,0.0,,548912.8854422994,9125815.146564014
2026-12-01,,41449,0.0,0.0,,0.5228783927762981,,671863.3049757404,,512839.034570948,,0.0,,512839.034570948,9638654.181134962
2027-01-01,,37818,0.0,0.0,,0.5228707938425928,,612991.0885912923,,467901.675593302,,0.0,,467901.675593302,10106555.856728263
2027-02-01,,34794,0.0,0.0,,0.5228591590369965,,509384.9686039863,,388818.57557175914,,0.0,,388818.57557175914,10495374.432300022
2027-03-01,,32119,0.0,0.0,,0.5228413291671832,,520587.1122124052,,397369.8996240092,,0.0,,397369.8996240092,10892744.33192403
