Date,DAU (Act),DAU,Boost DAU,Boost DAU %,ARPDAU (Act),ARPDAU,Gross Rev (Act),Gross Rev,Net Rev (Act),Net Rev,Mktg Cost (Act),Mktg Cost,Game Margin (Act),Game Margin,Cumul. Margin
2025-10-01,127264.0,127264,,,0.3942050473498037,0.3942050473498037,1555207.5034732146,1555207.5034732146,1141844.5529823678,1141844.5529823678,574462.1263814908,574462.0,567382.426600877,567382.5529823678,567382.5529823678
2025-11-01,119313.0,119313,,,0.4158808628248214,0.41588086282482145,1488600.633348263,1488600.6333482633,1091988.5824560784,1091988.5824560784,510969.1951464213,510969.0,581019.3873096571,581019.5824560784,1148402.1354384462
2025-12-01,117684.0,117684,,,0.4304904586568507,0.4304904586568507,1570512.7083291707,1570512.7083291707,1151164.6827486549,1151164.6827486549,640616.7149712659,640617.0,510547.967777389,510547.68274865486,1658949.818187101
2026-01-01,114296.0,114296,,,0.4497845797868576,0.4497845797868576,1593665.0287017194,1593665.0287017194,1167048.9631338506,1167048.9631338506,364087.51926640014,364088.0,802961.4438674505,802960.9631338506,2461910.781320952
2026-02-01,109327.0,109327,,,0.4749480290021503,0.4749480290021503,1453894.7581483964,1453894.7581483964,1064214.2106371715,1064214.2106371715,407247.3114704367,407247.0,656966.8991667349,656967.2106371715,3118877.9919581236
2026-03-01,98535.0,98535,,,0.4445380797405321,0.4445380797405321,1357874.0158472764,1357874.0158472764,998298.8689634462,998298.8689634465,275693.9334146599,275694.0,722604.9355487863,722604.8689634465,3841482.86092157
2026-04-01,90902.0,90902,,,0.4817159154543821,0.4817159154543821,1313669.6495467736,1313669.6495467736,963476.9337862708,963476.9337862708,263614.4998332652,263614.0,699862.4339530056,699862.9337862708,4541345.794707841
2026-05-01,83176.0,83176,,,0.5189950139672144,0.5189950139672144,1338210.9976839873,1338210.9976839873,981165.5830910852,981165.5830910852,241279.92481554637,241280.0,739885.6582755388,739885.5830910852,5281231.377798926
2026-06-01,78254.0,78254,,,0.47569263840603465,0.47569263840603465,1116738.416385199,1116738.416385199,820699.3274151686,820699.3274151686,225004.7726297013,215990.0,595694.5547854673,604709.3274151686,5885940.705214094
2026-07-01,75244.0,74204,0.0,0.0,0.4398835640599192,0.4776069362145657,430281.3457400552,1098648.967341538,316842.87332021515,841035.1267107629,90666.14675884676,200000.0,226176.72656136838,641035.1267107629,6526975.831924858
2026-08-01,,63892,0.0,0.0,,0.47760828135905864,,945980.1978185553,,724164.3929630892,,0.0,,724164.3929630892,7251140.224887947
2026-09-01,,55851,0.0,0.0,,0.49589270699374643,,830878.5628841649,,635270.7071620724,,0.0,,635270.7071620724,7886410.9320500195
2026-10-01,,51851,1908.0,3.680129597326777,,0.5228551420647473,,840430.7452646813,,641509.3097252959,,0.0,,641509.3097252959,8527920.241775315
2026-11-01,,49847,4915.0,9.859262915986157,,0.5228519739895132,,781872.5799442448,,596811.4330805535,,0.0,,596811.4330805535,9124731.67485587
2026-12-01,,48946,8230.0,16.814629542444624,,0.5228514326187064,,793332.2910015748,,605558.7777050072,,0.0,,605558.7777050072,9730290.452560876
2027-01-01,,43141,5928.0,13.74187045417043,,0.5228599126101473,,699264.1948546882,,533755.228561282,,0.0,,533755.228561282,10264045.681122158
2027-02-01,,38217,3927.0,10.274799800525157,,0.5228413820449919,,559481.0326890547,,427058.05726187484,,0.0,,427058.05726187484,10691103.738384033
2027-03-01,,34897,3203.0,9.179044101922775,,0.5227967199935244,,565560.2646509224,,431700.08211721625,,0.0,,431700.08211721625,11122803.82050125
2027-04-01,,32025,2665.0,8.322538457599013,,0.5227614439952815,,502241.9836789622,,383369.52868019685,,0.0,,383369.52868019685,11506173.349181445
2027-05-01,,29526,2211.0,7.489947945680226,,0.5227283588797306,,478457.7089847836,,365215.6555033587,,0.0,,365215.6555033587,11871389.004684804
2027-06-01,,27348,1852.0,6.7734949647262805,,0.5226904858265777,,428842.475952462,,327344.50726625737,,0.0,,327344.50726625737,12198733.511951061
2027-07-01,,25417,1555.0,6.116628384067698,,0.5226478487121481,,411807.5870930624,,314342.58570135065,,0.0,,314342.58570135065,12513076.097652411
2027-08-01,,23633,1287.0,5.445042436783405,,0.5226030945864636,,382871.0798182084,,292255.7976911481,,0.0,,292255.7976911481,12805331.895343559
2027-09-01,,22041,1065.0,4.831827988705278,,0.5225584320240041,,345538.96475427493,,263760.21702201234,,0.0,,263760.21702201234,13069092.112365572
2027-10-01,,20618,895.0,4.340168322664631,,0.5225132303647316,,333966.60754214623,,254927.69602317875,,0.0,,254927.69602317875,13324019.808388751
2027-11-01,,19359,778.0,4.020638774310409,,0.5224680348128988,,303426.402528785,,231616.2662250466,,0.0,,231616.2662250466,13555636.074613798
2027-12-01,,18250,705.0,3.863274215714895,,0.5224247834886937,,295558.7029888806,,225611.4200978145,,0.0,,225611.4200978145,13781247.494711613
2028-01-01,,17248,651.0,3.7747764393905694,,0.5223860793073396,,279315.01908070303,,213212.70634020027,,0.0,,213212.70634020027,13994460.201051813
2028-02-01,,16379,604.0,3.6853604051047624,,0.5223568165414144,,248120.51674731838,,189401.13623735262,,0.0,,189401.13623735262,14183861.337289166
